Game,Mean_Compression,Std_Compression,Mean_Entropy,Max_Entropy,Deterministic_Conditions,Adaptive_Conditions
PD,6959.999999996435,1293.4450123600307,0.0,0.0,5,0
HD,5699.999999996619,681.9090848493844,0.0,0.0,5,0
SH,6020.001271785748,3931.5367045953635,0.19999942292159895,0.9999971146079948,4,1
