hidden_size,game,opponent,seed,geometric_states,lstar_states,minimized_states,fidelity
16,hawk-dove,0.7,1617,16,16,14,1.0
16,hawk-dove,0.9,1617,16,16,16,1.0
16,hawk-dove,0.1,1819,16,16,16,1.0
16,hawk-dove,0.3,1819,16,16,14,1.0
16,hawk-dove,0.5,1819,16,16,15,1.0
16,hawk-dove,0.7,1819,16,16,16,0.29838383838383836
16,hawk-dove,0.9,1819,16,16,15,1.0
16,hawk-dove,0.1,2021,16,16,16,1.0
16,hawk-dove,0.3,2021,16,16,15,1.0
16,hawk-dove,0.5,2021,16,16,14,1.0
16,hawk-dove,0.7,2021,16,16,14,1.0
16,hawk-dove,0.9,2021,16,16,15,1.0
16,prisoners-dilemma,0.1,789,16,16,14,1.0
16,prisoners-dilemma,0.3,789,16,16,14,1.0
16,prisoners-dilemma,0.5,789,16,16,16,1.0
16,prisoners-dilemma,0.7,789,16,16,13,1.0
16,prisoners-dilemma,0.9,789,16,16,15,1.0
16,prisoners-dilemma,0.1,1011,16,16,16,1.0
16,prisoners-dilemma,0.3,1011,16,16,15,1.0
16,prisoners-dilemma,0.5,1011,16,16,10,1.0
16,prisoners-dilemma,0.7,1011,16,16,11,1.0
16,prisoners-dilemma,0.9,1011,16,16,12,1.0
16,prisoners-dilemma,0.1,1213,16,16,16,1.0
16,prisoners-dilemma,0.3,1213,16,16,15,1.0
16,prisoners-dilemma,0.5,1213,16,16,13,1.0
16,prisoners-dilemma,0.7,1213,16,16,15,1.0
16,prisoners-dilemma,0.9,1213,16,16,15,0.9008080808080808
16,prisoners-dilemma,0.1,1415,16,16,15,0.9005050505050505
16,prisoners-dilemma,0.3,1415,16,16,14,1.0
16,prisoners-dilemma,0.5,1415,16,16,16,1.0
16,prisoners-dilemma,0.7,1415,16,16,16,1.0
16,prisoners-dilemma,0.9,1415,16,16,16,1.0
16,prisoners-dilemma,0.1,1617,16,16,15,1.0
16,prisoners-dilemma,0.3,1617,16,16,16,1.0
16,prisoners-dilemma,0.5,1617,16,16,16,0.49292929292929294
16,prisoners-dilemma,0.7,1617,16,16,13,1.0
16,prisoners-dilemma,0.9,1617,16,16,15,1.0
16,prisoners-dilemma,0.1,1819,16,16,14,1.0
16,prisoners-dilemma,0.3,1819,16,16,12,1.0
16,prisoners-dilemma,0.5,1819,16,16,14,1.0
16,prisoners-dilemma,0.7,1819,16,16,16,0.30414141414141416
16,prisoners-dilemma,0.9,1819,16,16,14,1.0
16,prisoners-dilemma,0.1,2021,16,16,15,1.0
16,prisoners-dilemma,0.3,2021,16,16,15,1.0
16,prisoners-dilemma,0.5,2021,16,16,13,1.0
16,prisoners-dilemma,0.7,2021,16,16,16,1.0
16,prisoners-dilemma,0.9,2021,16,16,15,1.0
8,prisoners-dilemma,0.1,42,8,8,7,1.0
8,prisoners-dilemma,0.3,42,8,8,3,1.0
8,prisoners-dilemma,0.5,42,8,8,7,1.0
8,prisoners-dilemma,0.7,42,8,8,8,1.0
8,prisoners-dilemma,0.9,42,8,8,7,1.0
8,prisoners-dilemma,0.1,123,8,8,8,1.0
8,prisoners-dilemma,0.3,123,8,8,8,0.30393939393939395
8,prisoners-dilemma,0.5,123,8,8,5,1.0
8,prisoners-dilemma,0.7,123,8,8,5,1.0
8,prisoners-dilemma,0.9,123,8,8,5,1.0
8,stag-hunt,0.1,42,8,8,6,1.0
8,stag-hunt,0.3,42,8,8,3,1.0
8,stag-hunt,0.5,42,8,8,7,1.0
8,stag-hunt,0.7,42,8,8,8,1.0
8,stag-hunt,0.9,42,8,8,7,1.0
8,stag-hunt,0.1,123,8,8,5,1.0
8,stag-hunt,0.3,123,8,8,8,0.3090909090909091
8,stag-hunt,0.5,123,8,8,8,1.0
8,stag-hunt,0.7,123,8,8,8,0.295959595959596
8,stag-hunt,0.9,123,8,8,8,0.1008080808080808
8,stag-hunt,0.1,456,8,8,6,1.0
8,stag-hunt,0.3,456,8,8,8,1.0
8,stag-hunt,0.5,456,8,8,5,1.0
8,stag-hunt,0.7,456,8,8,7,1.0
8,stag-hunt,0.9,456,8,8,8,1.0
8,stag-hunt,0.1,789,8,8,6,1.0
8,stag-hunt,0.3,789,8,8,8,1.0
8,stag-hunt,0.5,789,8,8,6,1.0
8,stag-hunt,0.7,789,8,8,7,1.0
8,stag-hunt,0.9,789,8,8,8,1.0
8,stag-hunt,0.1,1011,8,8,8,1.0
8,stag-hunt,0.3,1011,8,8,8,1.0
8,stag-hunt,0.5,1011,8,8,8,1.0
8,stag-hunt,0.7,1011,8,8,7,1.0
8,stag-hunt,0.9,1011,8,8,8,1.0
8,stag-hunt,0.1,1213,8,8,8,0.9047474747474747
8,stag-hunt,0.3,1213,8,8,7,1.0
8,stag-hunt,0.5,1213,8,8,4,1.0
8,stag-hunt,0.7,1213,8,8,7,1.0
8,stag-hunt,0.9,1213,8,8,8,1.0
8,stag-hunt,0.1,1415,8,8,8,1.0
8,stag-hunt,0.3,1415,8,8,8,1.0
