train_game,ratio_mean,ratio_sem,train_reward_mean,train_reward_sem,test_reward_mean,test_reward_sem
hawk-dove,0.000762858135294694,1.4560969748469712e-05,2660.8,28.466471505966457,2.0282600000000004,0.02013446920085062
prisoners-dilemma,0.0006129294982820992,2.5327567477780858e-06,3302.4,13.6586968631711,2.024,0.0
stag-hunt,0.000798370013312315,7.179442022155728e-05,2778.4,9.703607576566544,2.21668,0.19562061151627153
