train_game,coop_mean,coop_sem,reward_mean,reward_sem
hawk-dove,0.49892000000000003,0.03899148995471821,0.5005755555555556,0.003286445920766623
prisoners-dilemma,0.0,0.0,0.5580444444444446,0.0
stag-hunt,0.18291333333333334,0.11207588084269812,0.5432346666666668,0.009113562620053148
