train_game,train_mean,train_sem,non_train_mean,non_train_sem
hawk-dove,0.6094466666666667,0.0011256899119108353,0.44614000000000004,0.004778834324393371
prisoners-dilemma,0.6048000000000001,0.0,0.5346666666666666,0.0
stag-hunt,0.54668,0.028587858436755983,0.541512,0.02793837738070461
