model_id,train_game,seed,mean_cooperation,generalization_ratio,mean_training_reward,mean_non_training_reward
0,prisoners-dilemma,0,0.0,0.8840388007054671,0.6048000000000001,0.5346666666666666
6,hawk-dove,1,0.5539666666666666,0.7169823267081429,0.6054333333333333,0.43408499999999994
7,hawk-dove,2,0.6134666666666667,0.7577866608257585,0.6087333333333333,0.4612900000000001
8,hawk-dove,3,0.48033333333333333,0.7156152966170942,0.6119,0.43788499999999997
9,hawk-dove,4,0.38799999999999996,0.73597487711633,0.6103333333333333,0.44919000000000003
10,stag-hunt,0,0.4693333333333333,0.7580156996034636,0.61785,0.46834
1,prisoners-dilemma,1,0.0,0.8840388007054671,0.6048000000000001,0.5346666666666666
11,stag-hunt,1,0.44523333333333337,0.7765737957923807,0.61555,0.47802
12,stag-hunt,2,0.0,1.1741333333333335,0.5,0.5870666666666667
13,stag-hunt,3,0.0,1.1741333333333335,0.5,0.5870666666666667
14,stag-hunt,4,0.0,1.1741333333333335,0.5,0.5870666666666667
2,prisoners-dilemma,2,0.0,0.8840388007054671,0.6048000000000001,0.5346666666666666
3,prisoners-dilemma,3,0.0,0.8840388007054671,0.6048000000000001,0.5346666666666666
4,prisoners-dilemma,4,0.0,0.8840388007054671,0.6048000000000001,0.5346666666666666
5,hawk-dove,0,0.45883333333333337,0.7338335607094132,0.6108333333333335,0.44825
