train_game,coop_mean,coop_sem,ratio_mean,ratio_sem
hawk-dove,0.49892000000000003,0.03899148995471821,0.7320385443953478,0.007674943182859519
prisoners-dilemma,0.0,0.0,0.884038800705467,0.0
stag-hunt,0.18291333333333334,0.11207588084269812,1.011397899079169,0.0996978844262166
