game,opponent,matrix,effective_rank_90,effective_rank_95,participation_ratio,condition_number,spectral_entropy,max_singular_value,min_singular_value
hawk-dove,0.9,value_head,42,50,54.91584,6.7662835,3.8819902,1.1309578,0.16714609
stag-hunt,0.1,lstm_l0_ih,91,106,103.89181,9.345134,4.3464127,6.1714187,0.66038847
stag-hunt,0.1,lstm_l0_hh,110,118,111.996506,5.259597,4.465024,4.382089,0.83316064
stag-hunt,0.1,lstm_l1_ih,89,105,95.05176,13.802036,4.0009003,8.842479,0.6406648
stag-hunt,0.1,lstm_l1_hh,112,120,118.27372,4.841293,4.6142387,4.220695,0.8718115
stag-hunt,0.1,policy_head,41,49,51.060146,10.95757,3.6763017,2.129027,0.19429736
stag-hunt,0.1,value_head,42,49,52.481487,10.573231,3.7595277,1.7997209,0.17021485
stag-hunt,0.3,lstm_l0_ih,92,106,105.72489,8.565612,4.4053717,5.5913577,0.6527681
stag-hunt,0.3,lstm_l0_hh,109,118,112.73925,4.8795667,4.490089,4.130773,0.8465451
stag-hunt,0.3,lstm_l1_ih,91,106,101.591545,11.195696,4.2252502,7.302912,0.6522964
stag-hunt,0.3,lstm_l1_hh,113,120,121.94462,4.128479,4.7096815,3.5276442,0.8544658
stag-hunt,0.3,policy_head,41,49,51.057034,10.95917,3.6757157,2.1295872,0.19432011
stag-hunt,0.3,value_head,42,49,53.59938,8.55961,3.8175092,1.5490721,0.18097462
stag-hunt,0.5,lstm_l0_ih,93,107,108.24361,8.069009,4.4688525,5.2557683,0.6513524
stag-hunt,0.5,lstm_l0_hh,112,120,119.98464,4.258874,4.6673365,3.6813946,0.86440563
stag-hunt,0.5,lstm_l1_ih,94,108,107.65359,9.102611,4.4091897,6.02363,0.6617475
stag-hunt,0.5,lstm_l1_hh,113,120,119.987816,4.5948896,4.6552105,3.9704695,0.8641055
stag-hunt,0.5,policy_head,43,50,55.647522,4.9885273,3.9068046,1.0092776,0.20231974
stag-hunt,0.5,value_head,42,50,54.32137,7.453975,3.853899,1.3363183,0.17927592
stag-hunt,0.7,lstm_l0_ih,94,107,109.3416,8.218198,4.4871125,5.338231,0.64956224
stag-hunt,0.7,lstm_l0_hh,113,120,122.37871,3.898538,4.7201185,3.4456234,0.88382447
stag-hunt,0.7,lstm_l1_ih,94,108,108.4192,9.302975,4.424733,6.0170026,0.64678264
stag-hunt,0.7,lstm_l1_hh,113,120,120.97283,4.326094,4.682769,3.7570736,0.86846787
stag-hunt,0.7,policy_head,41,49,50.499798,11.694958,3.6401527,2.2404478,0.19157383
stag-hunt,0.7,value_head,42,50,54.548717,7.318892,3.8644865,1.272654,0.17388617
stag-hunt,0.9,lstm_l0_ih,94,107,109.97688,7.999537,4.5054445,5.1725726,0.646609
stag-hunt,0.9,lstm_l0_hh,113,121,122.401215,3.856673,4.720414,3.4463058,0.8935955
stag-hunt,0.9,lstm_l1_ih,94,108,109.40527,8.930215,4.453514,5.79188,0.6485712
stag-hunt,0.9,lstm_l1_hh,113,120,119.63569,4.5301375,4.6452374,4.043769,0.89263713
stag-hunt,0.9,policy_head,41,49,50.787533,11.432923,3.6576576,2.1871083,0.19129913
stag-hunt,0.9,value_head,42,50,53.990013,8.116377,3.8379178,1.4425488,0.1777331
