game,opponent,layer,grad_norm,input_sensitivity
prisoners-dilemma,0.3,opponent_reward_embed.0.weight,0.0,8.658697936425597e-08
prisoners-dilemma,0.3,opponent_reward_embed.0.bias,8.903671186999418e-06,8.658697936425597e-08
prisoners-dilemma,0.3,opponent_reward_embed.2.weight,4.627839871318429e-07,8.658697936425597e-08
prisoners-dilemma,0.3,opponent_reward_embed.2.bias,3.2700603469493217e-07,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.weight_ih_l0,6.477740043919766e-06,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.weight_hh_l0,5.5266682466026396e-06,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.bias_ih_l0,5.618934437734424e-07,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.bias_hh_l0,5.618934437734424e-07,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.weight_ih_l1,2.340936589462217e-05,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.weight_hh_l1,1.9943554434576072e-05,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.bias_ih_l1,2.2021802124072565e-06,8.658697936425597e-08
prisoners-dilemma,0.3,lstm.bias_hh_l1,2.2021802124072565e-06,8.658697936425597e-08
prisoners-dilemma,0.3,policy_head.0.weight,0.00011354588059475645,8.658697936425597e-08
prisoners-dilemma,0.3,policy_head.0.bias,1.2490130757214502e-05,8.658697936425597e-08
prisoners-dilemma,0.3,policy_head.3.weight,0.00037582573713734746,8.658697936425597e-08
prisoners-dilemma,0.3,policy_head.3.bias,2.0181838408461772e-05,8.658697936425597e-08
prisoners-dilemma,0.5,payoff_matrix_embed.0.weight,9.032805792230647e-06,3.260097685142682e-07
prisoners-dilemma,0.5,payoff_matrix_embed.0.bias,1.5268228708009701e-06,3.260097685142682e-07
prisoners-dilemma,0.5,payoff_matrix_embed.2.weight,1.4073790453039692e-06,3.260097685142682e-07
prisoners-dilemma,0.5,payoff_matrix_embed.2.bias,1.739325853122864e-06,3.260097685142682e-07
prisoners-dilemma,0.5,round_number_embed.0.weight,3.7260056160448585e-06,3.260097685142682e-07
prisoners-dilemma,0.5,round_number_embed.0.bias,7.835853466531262e-06,3.260097685142682e-07
prisoners-dilemma,0.5,round_number_embed.2.weight,1.1613157084866543e-06,3.260097685142682e-07
prisoners-dilemma,0.5,round_number_embed.2.bias,1.5373204860225087e-06,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_action_embed.0.weight,5.431014869827777e-06,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_action_embed.0.bias,6.490742089226842e-05,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_action_embed.2.weight,3.898156137438491e-06,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_action_embed.2.bias,6.366000889101997e-06,3.260097685142682e-07
prisoners-dilemma,0.5,agent_action_embed.0.weight,8.137185369960775e-12,3.260097685142682e-07
prisoners-dilemma,0.5,agent_action_embed.0.bias,0.00013275793753564358,3.260097685142682e-07
prisoners-dilemma,0.5,agent_action_embed.2.weight,2.7193270852876594e-06,3.260097685142682e-07
prisoners-dilemma,0.5,agent_action_embed.2.bias,3.060824383283034e-06,3.260097685142682e-07
prisoners-dilemma,0.5,agent_reward_embed.0.weight,0.0,3.260097685142682e-07
prisoners-dilemma,0.5,agent_reward_embed.0.bias,6.521480099763721e-05,3.260097685142682e-07
prisoners-dilemma,0.5,agent_reward_embed.2.weight,2.5687238576210802e-06,3.260097685142682e-07
prisoners-dilemma,0.5,agent_reward_embed.2.bias,2.03029185286141e-06,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_reward_embed.0.weight,0.0,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_reward_embed.0.bias,1.5514049664488994e-05,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_reward_embed.2.weight,5.387676537793595e-06,3.260097685142682e-07
prisoners-dilemma,0.5,opponent_reward_embed.2.bias,4.239405825501308e-06,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.weight_ih_l0,5.033800334786065e-05,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.weight_hh_l0,4.464692756300792e-05,3.260097685142682e-07
