task,total_dims,effective_dims,max_coef,active_dims_1pct,sparsity_1pct,active_dims_5pct,sparsity_5pct,active_dims_10pct,sparsity_10pct,active_dims_20pct,sparsity_20pct
game,128,88.24530502268279,0.7555182240665852,128,0.0,122,0.046875,113,0.1171875,88,0.3125
opponent,128,100.88501160900351,1.7081437231940728,128,0.0,126,0.015625,121,0.0546875,97,0.2421875
condition,128,112.54062505810064,1.3635504309457236,128,0.0,128,0.0,127,0.0078125,119,0.0703125
