game,opponent,I_X_Actions,I_H_Actions,info_retention,active_dims,active_dims_pct,action_entropy,max_entropy,output_compression,compression_ratio
PD,0.1,0.005599999999997163,0.002399999999990854,0.42857142857001246,0,0.0,0.0,1.0,0.0,5599.999999997163
PD,0.3,0.007399999999996187,0.001599999999995383,0.2162162162157037,0,0.0,0.0,1.0,0.0,7399.999999996187
PD,0.5,0.008699999999996155,0.001599999999995383,0.18390804597656207,0,0.0,0.0,1.0,0.0,8699.999999996156
PD,0.7,0.007799999999996143,0.001599999999995383,0.20512820512771462,0,0.0,0.0,1.0,0.0,7799.999999996144
PD,0.9,0.008399999999996077,0.003999999999986237,0.4761904761890601,0,0.0,0.0,1.0,0.0,8399.999999996078
HD,0.1,0.005799999999996586,0.001599999999995383,0.2758620689648836,0,0.0,0.0,1.0,0.0,5799.999999996586
HD,0.3,0.0061999999999959865,0.001599999999995383,0.2580645161284546,0,0.0,0.0,1.0,0.0,6199.999999995986
HD,0.5,0.0066999999999961535,0.001599999999995383,0.23880597014870172,0,0.0,0.0,1.0,0.0,6699.999999996154
HD,0.7,0.005499999999996619,0.001599999999995383,0.29090909090843026,0,0.0,0.0,1.0,0.0,5499.999999996619
HD,0.9,0.005599999999997274,0.00559999999998162,0.9999999999972046,0,0.0,0.0,1.0,0.0,5599.999999997274
SH,0.1,0.005499999999997285,0.003199999999990766,0.5818181818167901,0,0.0,0.0,1.0,0.0,5499.999999997285
SH,0.3,0.005101020204051343,0.004000800160343765,0.7843137255496931,0,0.0,0.0027460526282630476,1.0,0.6863758543808636,1.857582826909576
SH,0.5,0.03244727334143649,0.400779800171307,12.351725088082976,2,0.0625,0.9997765438549373,1.0,2.494578178410186,0.032454525504595585
SH,0.7,0.009099999999996111,0.001599999999995383,0.1758241758237436,0,0.0,0.0,1.0,0.0,9099.999999996111
SH,0.9,0.00809999999999611,0.003199999999986325,0.3950617283935632,0,0.0,0.0,1.0,0.0,8099.999999996111
