model_id,condition_id,train_game,train_opponent,seed,env_payoff_magnitude,env_round_magnitude,env_total,soc_opp_action,soc_agent_action,soc_agent_reward,soc_opp_reward,soc_total,social_ratio,var_env_payoff,var_env_round,var_soc_opp_action,var_soc_agent_action,var_soc_agent_reward,var_soc_opp_reward,var_env_total,var_soc_total,var_social_ratio,abl_env_payoff,abl_env_round,abl_soc_opp_action,abl_soc_agent_action,abl_soc_agent_reward,abl_soc_opp_reward
0,0,prisoners-dilemma,0.1,0,2.6872799396514893,2.944135904312134,5.631415843963623,2.9543983936309814,2.192073345184326,2.365060329437256,3.2494468688964844,10.760978937149048,0.6564616751145999,0.1049116924405098,0.07186219841241837,0.7482859492301941,0.2688853442668915,0.23238256573677063,0.46410882472991943,0.17677389085292816,1.7136626839637756,0.9064904407755293,0.0003046553465537727,0.00022561023070011288,5.832745591760613e-05,2.1430196284200065e-06,0.00018138876475859433,5.1974348025396466e-05
0,0,prisoners-dilemma,0.1,1,2.684880495071411,2.778745412826538,5.463625907897949,2.4904909133911133,2.4300827980041504,2.908940553665161,2.7205073833465576,10.550021648406982,0.6588144026095543,0.052215348929166794,0.016328629106283188,0.7644570469856262,0.2820907235145569,0.12585331499576569,0.48611128330230713,0.06854397803544998,1.658512368798256,0.9603116724239398,0.0003172317810822278,0.0005597826093435287,0.0001734528923407197,4.5922151912236586e-05,0.0004090881848242134,0.00015855682431720197
0,0,prisoners-dilemma,0.1,2,2.6278717517852783,2.4410059452056885,5.068877696990967,3.050232172012329,2.6276614665985107,2.451139211654663,2.5793588161468506,10.708391666412354,0.6787227510516713,0.13436387479305267,0.01755022630095482,0.8688946962356567,0.27574506402015686,0.24225251376628876,0.5111578702926636,0.1519141010940075,1.898050144314766,0.92589426794431,0.0004554131010081619,0.00044884710223414004,7.235622615553439e-05,2.220227543148212e-05,0.0006824997835792601,0.00012389801850076765
0,0,prisoners-dilemma,0.1,3,2.3550546169281006,2.265538215637207,4.620592832565308,2.843581199645996,2.731647253036499,2.702101469039917,2.8578014373779297,11.135131359100342,0.70673561073064,0.13840432465076447,0.06674124300479889,0.9497725963592529,0.19582709670066833,0.2247285395860672,0.4618801772594452,0.20514556765556335,1.8322084099054337,0.8993078424687143,0.0008836709312163293,0.0006538667948916554,0.0002606255584396422,4.1984378185588866e-05,0.0003865257604047656,0.00019856466678902507
0,0,prisoners-dilemma,0.1,4,2.7613425254821777,2.7014615535736084,5.462804079055786,2.8585045337677,2.1122066974639893,2.524911403656006,2.568007230758667,10.063629865646362,0.6481610588425054,0.1599091738462448,0.10573576390743256,0.8508478999137878,0.23273012042045593,0.1837654709815979,0.37211260199546814,0.26564493775367737,1.6394560933113098,0.8605612335398418,0.0003292516921646893,0.00024341062817256898,0.00010159604426007718,1.6235295333899558e-05,0.00039545560139231384,0.0001398961612721905
10,10,stag-hunt,0.1,0,2.6695971488952637,2.9448230266571045,5.614420175552368,3.064213275909424,2.195553779602051,2.389533281326294,3.1544291973114014,10.80372953414917,0.6580357546481143,0.14178359508514404,0.0607825331389904,0.8472128510475159,0.25361207127571106,0.37848228216171265,0.08739057183265686,0.20256612822413445,1.5666977763175964,0.8855082457149871,0.00017953240603674203,0.000383595353923738,0.00014422873209696263,2.756392404990038e-06,0.00035701252636499703,0.00028089131228625774
10,10,stag-hunt,0.1,1,2.7031760215759277,2.7741878032684326,5.47736382484436,2.488752841949463,2.479844093322754,2.9056713581085205,2.6784162521362305,10.552684545516968,0.6583064693072478,0.05275008827447891,0.014897595159709454,0.9020460247993469,0.3501732647418976,0.4039399325847626,0.12521857023239136,0.06764768343418837,1.7813777923583984,0.9634144124459988,4.588868250721134e-05,0.00016888926620595157,6.373490032274276e-05,7.163919690356124e-06,5.488413808052428e-05,0.00014226342318579555
10,10,stag-hunt,0.1,2,2.6116411685943604,2.437235116958618,5.0488762855529785,3.070037841796875,2.6441690921783447,2.4517595767974854,2.5618278980255127,10.727794408798218,0.6799783437604032,0.1464543342590332,0.0015301317907869816,0.9769798517227173,0.223753422498703,0.4564751982688904,0.24516135454177856,0.14798446604982018,1.9023698270320892,0.9278249293065428,8.214779518311843e-05,0.0004934712196700275,0.00016497040633112192,5.138303095009178e-06,0.0006887358613312244,0.000373523827875033
10,10,stag-hunt,0.1,3,2.3388216495513916,2.260310411453247,4.599132061004639,2.803302049636841,2.6851484775543213,2.707242488861084,2.8451437950134277,11.040836811065674,0.7059372624955975,0.15361660718917847,0.06873055547475815,0.96533203125,0.2828068137168884,0.35582050681114197,0.2861180901527405,0.22234716266393661,1.8900774419307709,0.894743148616849,0.00020560543634928763,0.0004552205209620297,0.00016894983127713203,2.1024156012572348e-05,0.0005815874319523573,0.0004909563576802611
10,10,stag-hunt,0.1,4,2.783700466156006,2.694031000137329,5.477731466293335,2.8497800827026367,2.1076440811157227,2.531766414642334,2.5743417739868164,10.06353235244751,0.6475362924032042,0.17757464945316315,0.047443415969610214,0.833550214767456,0.48931649327278137,0.26643264293670654,0.22181910276412964,0.22501806542277336,1.8111184537410736,0.8894877316403231,0.0029442475643008947,0.002322467276826501,0.003860140684992075,3.526012733345851e-05,0.003813960589468479,0.0036978349089622498
11,11,stag-hunt,0.3,0,2.6769280433654785,2.958054780960083,5.6349828243255615,2.9852724075317383,2.2045204639434814,2.3810741901397705,3.1604676246643066,10.731334686279297,0.6556963519329092,0.12613265216350555,0.008509453386068344,0.6270713806152344,0.4174860119819641,0.33401936292648315,0.14653602242469788,0.1346421055495739,1.5251127779483795,0.918878319390262,0.0013207623269408941,0.0014896240318194032,0.00040852357051335275,0.00025089734117500484,0.0013479528715834022,0.001750937313772738
11,11,stag-hunt,0.3,1,2.711785316467285,2.7828452587127686,5.494630575180054,2.504732608795166,2.4770777225494385,2.9095935821533203,2.6768054962158203,10.568209409713745,0.6579290722968388,0.05732573941349983,0.0071952128782868385,0.623969316482544,0.4799860417842865,0.24848756194114685,0.24452058970928192,0.06452095229178667,1.5969635099172592,0.9611666833128237,7.974346226546913e-05,0.00023006531409919262,0.00012822281860280782,3.273834227002226e-05,0.00020128641335759312,0.00016792786482255906
11,11,stag-hunt,0.3,2,2.627412796020508,2.4212114810943604,5.048624277114868,3.0014591217041016,2.6766390800476074,2.4409196376800537,2.5823869705200195,10.701404809951782,0.6794530188353357,0.15080992877483368,0.09914233535528183,0.6672230958938599,0.4891164004802704,0.38365092873573303,0.3229495584964752,0.2499522641301155,1.8629399836063385,0.8817013672145895,0.00010747829219326377,0.0006810097838751972,0.00012045123003190383,2.9791583074256778e-05,0.0006676042103208601,0.00044566852739080787
11,11,stag-hunt,0.3,3,2.356801748275757,2.267099142074585,4.623900890350342,2.7234950065612793,2.709407329559326,2.702531099319458,2.849943161010742,10.985376596450806,0.703772266572863,0.13267534971237183,0.03173612430691719,0.678550124168396,0.40017586946487427,0.27563247084617615,0.23182108998298645,0.16441147401928902,1.5861795544624329,0.9060823051504598,0.00044436464668251574,0.0008066126029007137,0.00033355492632836103,0.00019155781774315983,0.0008984972373582423,0.0008129450143314898
